id,title,content,rating
20166387,Bình thường,.không ngon như đã nghĩ. Ăn không hợp khẩu vị,3
19951986,Bình thường,"Nhân viên giao hàng vất hàng vào nhà ko 1 câu nói, làm như khách xin vậy",3
20128425,Bình thường,"Hộp đóng gói móp méo, quà tặng cafe bị chảy nước",3
20158914,Rất không hài lòng,"Giao hàng ly khuyến mãi bị bể như hinh, nhà *** có ý kiến gì",1
19856893,Rất không hài lòng,Goi hàng chi co 5 ×5=35 goi mà lại qc 50 goi lên shop xem xét lại lên chi cho 1 sao,1
19451106,Rất không hài lòng,"Đặt tiki trading mà gói tệ, bịch sữa bị thủng đổ, gói bọc bì niông k đảm bảo được hàng bên trong, đổ sữa tràn vào thùng rất tệ không nên mua nha",1
18727188,Rất không hài lòng,"(*) Đánh giá không tính điểm
Vận chuyển làm rách,đổ sữa ướt hết cả thùng",1
20227917,Rất không hài lòng,"Mình mua thùng 48 bịch sữa Dutch Lady nhưng khi mở ra thì nhiều bịch có dấu hiệu mốc, hôi, và một số bịch khác thì phồng, sắp hư do bị ngâm trong sữa từ những bịch đã bể trước đó. Liên hệ tổng đài thì chỉ được hỗ trợ mã giảm giá 8%, vừa mất thời gian vừa không giải quyết được vấn đề chất lượng. Đây là trải nghiệm không tốt và mình không muốn mua lại trên Tiki. Mọi người nên cân nhắc kỹ trước khi đặt.",1
19996722,Rất không hài lòng,Thải ra quá nhiều rác thải từ việc mua 2 thùng sữa của Tiki trading,1
18862979,Rất không hài lòng,"Sữa có vấn đề mà dám giao đến tay người tiêu dùng, phản ảnh thì bảo chờ",1
18861836,Rất không hài lòng,Sữa bị đóng bánh thành mảng,1
19078450,Rất không hài lòng,,1
18520337,Rất không hài lòng,"(*) Đánh giá không tính điểm
giao hàng viettel post rất vớ vẩn, bị vỡ hết sữa. lần trước đặt thì giao sai hàng, quá vớ vẩn",1
17954201,Không hài lòng,"Hàng date rất gần, hạn sử dụng là 27/12/2022 dù ngày mình mua là 10/10/2022",2
17535053,Rất không hài lòng,Bình thường mấy ngày gần đây tôi có mua hàng mỗi ngày. Dùng bằng voucher đổi điểm asa không hiểu sao tiki báo mình vi phạm. Khoá chắc năng tiki now của mình. Thất vọng cạch mặt tiki chỉ muốn rút xu ra được rồi xoá ngay tài khoản. Không bao giờ dùng lại tiki,1
12819656,Rất không hài lòng,"Đặt hàng từ ngày 3/9 các mẹ ạ, hôm nay 25/10 em mới nhận được hàng , nó rách bươm, chai bị móp cổ. mà t chẳng thấy tiki có sự đền bù vì ôm tiền ôm hàng của khách gì cả",1
14794241,Bình thường,"Chai dầu mua được so với chai dầu mình dùng màu đậm hơn, không có in hạn sử dụng, chỉ in ngày sản xuất. Mình đang quan ngại đây là dầu giả",3
12776275,Không hài lòng,"Giao hàng quá chậm, 47 ngày cho cự ly 100km là không thể chấp nhận được, lý do dịch bệnh là không thỏa đáng. Xử lý kiến nghị của khách hàng chậm, không tích cực, thiếu chuyên nghiệp.",2
12860851,Rất không hài lòng,Đơn vị vận chuyển làm méo nắp bình dầu. Thời gian nhận hàng quá lâu đến hơn 1 tháng 30 ngày.,1
18017191,Cực kì hài lòng,Không nên mua. Hàng thực phẩm khi đóng gói không tách riêng. Đóng gói không cẩn thận,1
14634609,Rất không hài lòng,"Hàng đóng gói quá tệ. 
nhận hàng mà nát hết. 
sẽ không mua lần sau",1
